Data;ISPB;Nome;NaturezaUsuario;TipoChave;qtdChaves
31/01/2023;17184037;BCO MERCANTIL DO BRASIL SA;PF;e-mail;78115
31/01/2023;2000895;CECM SERV POD JUD TCE ORG PUBL MUN EST FED RJ;PJ;Aleatoria;4
31/03/2023;13207930;SLED;PJ;Aleatoria;2010
30/06/2023;42934794;CC CREDIPIMENTA;PJ;CNPJ;107
31/07/2023;1559914;CCLA LESTE E NORDESTE MINEIRO;PJ;Aleatoria;822
31/07/2023;7318874;COOP  SICOOB MADIO OESTE;PF;Celular;2540
31/05/2023;75847;CC UNICRED CENTRO-SUL LTDA - UNICRED CENTRO-SUL;PJ;CNPJ;2388
30/06/2023;72257793;SICREDI CEARAÅ;PF;Aleatoria;6265
31/05/2023;53236808;CCLA DE ARARAQUARA E REGIAO;PJ;Celular;281
31/03/2023;2057584;CC SICOOB SERTAO;PJ;e-mail;399
31/05/2023;17819084;PAGCERTO;PJ;CNPJ;845
31/08/2023;2038232;BANCO SICOOB SA;PJ;e-mail;823
30/04/2023;35210410;ONEKEY PAYMENTS;PF;e-mail;9
31/03/2023;7509426;COOP CRESOL XANXERE;PJ;CNPJ;232
28/02/2023;71392047;CC MONTECREDI LTDA;PF;e-mail;434
31/08/2023;33615055;CCLA ANAÅPOLIS E REGIAO;PF;Celular;1358
30/06/2023;4862600;PORTOSEG SA CFI;PF;Aleatoria;5705
31/05/2023;11581339;BMP SCMEPP LTDA;PF;Celular;703
31/03/2023;1073966;CCR DE ABELARDO LUZ;PJ;e-mail;166
31/01/2023;87067757;COOP SICREDI CENTRO SERRA;PF;e-mail;1212
31/03/2023;81367880;CCLA SUL CATARINENSE;PF;Celular;6252
31/05/2023;15357060;BCO WOORI BANK DO BRASIL SA;PF;e-mail;37
30/04/2023;7206072;COOP SICREDI NOVOS HORIZONTES;PF;Celular;11013
30/04/2023;707903;CC VALE DO CANOAS;PJ;Aleatoria;41
31/07/2023;40473435;REPASSES FINANCEIROS E SOLUCOES TECNOLOGICAS IP SA;PJ;e-mail;3
31/01/2023;10218474;CIVIA COOP CRED;PJ;e-mail;907
31/05/2023;71328769;SICOOB COCRED CC;PF;Aleatoria;4848
30/06/2023;9463721;COOP CRESOL JACINTO MACHADO;PF;e-mail;243
31/05/2023;31815293;SICOOB NORTE;PF;Celular;27
31/08/2023;4013172;CC SICOOB 3 COLINAS;PJ;Celular;728
31/07/2023;81011686;CC DO NORTE CATARINENSE E SUL PARANAENSE;PF;Celular;4317
31/05/2023;1110032;CCPIMAD E LA MINAS - ES LTDA - UNICRED MINAS - ES;PJ;e-mail;3
31/08/2023;32983165;COOP SICREDI VL DO CERRADO;PJ;Aleatoria;2322
31/08/2023;31818873;QESH IP LTDA;PF;Aleatoria;4
31/03/2023;7318874;COOP  SICOOB MADIO OESTE;PJ;Celular;496
30/06/2023;8044854;CC DO CENTRO DO ESTADO DE RONDAîNIA;PF;Celular;10900
31/01/2023;53923116;CC SICOOB CREDICOONAI;PJ;Celular;1
30/04/2023;315557;CONF NAC COOP CENTRAIS UNICRED;PJ;Celular;1
30/04/2023;416968;BANCO INTER;PF;e-mail;3176644
30/04/2023;329598;AçNDIGO INVESTIMENTOS DTVM LTDA;PJ;CNPJ;7
30/04/2023;7122321;CC INTEGRADO - SICOOB INTEGRADO;PJ;e-mail;1094
31/01/2023;81099491;COOP SICREDI VALE DO PIQUIRI;PJ;CNPJ;14412
31/08/2023;53623781;CC COOPCRED;PJ;Celular;522
30/04/2023;2883398;CC VALE ITAJAAç E ITAPOCAö;PF;e-mail;602
31/08/2023;4853988;COOP SICREDI BANDEIRANTES;PJ;e-mail;211
31/05/2023;81014060;CCLAA ITAIPU SICOOB CREDITAIPU;PJ;Celular;1233
31/07/2023;89990501;COOP SICREDI IBIRAIARAS RS/MG;PF;Celular;12430
28/02/2023;19962468;COOP SICREDI COOABCRED RS;PF;Celular;385
31/08/2023;37880206;CORA SCD SA;PJ;Celular;81881
30/06/2023;62109566;CREDISAN CC;PF;Celular;1135
31/08/2023;3427097;CCLA DO SUL CATARINENSE;PF;e-mail;3006
